original_english,corrected_chinese
# ===== tyre_monitor：原文 typo（head = heat），机翻把意思译反了 =====
we need to get some head into these brakes,得让刹车热起来
we need to get some heat into these brakes,得让刹车热起来
let's get some heat into these brakes,把刹车热起来
#
# ===== tyre_monitor：cooking 是过热，不是磨损 =====
"you're cooking your front tyres, mate",前胎烧过头了，老兄
you're cooking your left front tyre,左前胎烧过头了
you're cooking your left rear tyre,左后胎烧过头了
you're cooking your left side tyres,左侧两条胎烧过头了
"you're cooking your rear tyres, mate",后胎烧过头了，老兄
you're cooking your right front tyre,右前胎烧过头了
"you're cooking your right rear tyre, mate",右后胎烧过头了，老兄
"you're cooking your right side tyres, mate",右侧两条胎烧过头了，老兄
your left front's cooking,左前胎在烧
"your left rear's cooking, mate",左后胎在烧，老兄
your right front tyre is cooking,右前胎在烧
your right rear tyre is cooking,右后胎在烧
"your front brakes are cooking, mate",前刹车烧过头了，老兄
"your tyres are cooking all around, they're really hot",四条胎都烧过头了，非常热
#
# ===== tyre_monitor：spinning 是打滑，语序也乱 =====
you're spinning up your fronts,前轮在打滑
you're spinning up your left front,左前轮在打滑
you're spinning up your rear right,右后轮在打滑
you're spinning up your rears,后轮在打滑
you're spinning up your right front,右前轮在打滑
you're spinning your left front,左前轮在打滑
you're spinning your left front wheel,左前轮在打滑
you're spinning your rear left,左后轮在打滑
you're spinning your rear right tyre,右后胎在打滑
you're spinning your rears,后轮在打滑
#
# ===== tyre_monitor：片段要留接口，后面接弯角名 =====
you're locking your fronts going into,前轮抱死，在进
you're locking your fronts into,前轮抱死，在
you're locking your rears going into,后轮抱死，在进
you're locking your rears into,后轮抱死，在
you're locking your left front going into,左前抱死，在进
you're locking your left front into,左前抱死，在
you're locking your left front braking for,左前刹车抱死，在
you're locking your right front going into,右前抱死，在进
you're locking your right front into,右前抱死，在
we're seeing front locking going into,看到前轮抱死，在进
we're seeing rear locking into,看到后轮抱死，在
we're seeing right front locking into,看到右前抱死，在
you're spinning your fronts in,前轮打滑，在
you're spinning your left front in,左前打滑，在
you're spinning your right front in,右前打滑，在
you're spinning your right rear in,右后打滑，在
you're spinning your fronts coming out of,前轮打滑，出
you're spinning your left front coming out of,左前打滑，出
you're spinning your left rear coming out of,左后打滑，出
you're spinning your right front coming out of,右前打滑，出
you're spinning your right rear coming out of,右后打滑，出
you're spinning your rear tyres coming out of,后胎打滑，出
you're spinning your fronts on the exit of,前轮打滑，出
you're spinning your rears on the exit of,后轮打滑，出
we're seeing left front wheel spin on the exit of,看到左前打滑，出
we're seeing left rear wheel spin on the exit of,看到左后打滑，出
we're seeing right front wheel spin coming out of,看到右前打滑，出
we're seeing right rear wheel spin on the exit of,看到右后打滑，出
we're seeing rear wheel spin on the exit of,看到后轮打滑，出
we're seeing left rear wheel spin in,看到左后打滑，在
faster than,快过
quicker than,快过
are about,大约是
#
# ===== tyre_monitor：轮胎类型，三种软胎不能都叫「超软胎」 =====
hyper softs,极软胎
ultra softs,超软胎
super softs,特软胎
softs,软胎
mediums,中性胎
hards,硬胎
slicks,光头胎
wets,湿地胎
intermediates,半雨胎
inters,半雨胎
option tyres,选择胎
options,选择胎
prime tyres,标准胎
primes,标准胎
primaries,标准胎
alternates,备选胎
A's,A胎
B's,B胎
C's,C胎
D's,D胎
#
# ===== tyre_monitor：其他语义错 =====
your tyre temps are good,轮胎温度正常
we're seeing loads of wheelspin,看到大量打滑
we're seeing some wear on each corner,四个角都有些磨损
we're seeing significant wear on both left side tyres,左侧两条胎磨损明显
you have dirt pick on all your tyres,四条胎都粘脏了
you have dirt pick on your left side tyres,左侧两条胎粘脏了
you have dirt pick on your right side tyres,右侧两条胎粘脏了
you're locking your front brakes,前刹车抱死
you got cold front tyres,前胎是冷的
"your tyres are fine, mate, just push",轮胎没问题老兄，加快就行
your rear tyres will be past their best soon,后胎很快就要过最佳状态了
#
# ===== 残留英文 =====
# sweary 文件，按波次 1 定的规矩保留原味
"it's properly pissing it down here, mate",这雨下得跟尿一样，老兄
"you've been disqualified for exceeding the number of qualification laps allowed",超出允许的排位圈数，被取消资格
